Learner,Country,Gender,YOB,Level of Education
Learner 142,United Kingdom,Female,1985,Incomplete Secondary
Learner 152,Australia,Male,1985,The average
Learner 153,Canada,Male,1985,Incomplete Higher Education
Learner 154,United States,Male,1985,The average
Learner 157,Canada,Male,1985,The average
Learner 177,Australia,Female,1985,The average
Learner 183,United Kingdom,Female,1985,The average
Learner 193,United Kingdom,Male,1985,Incomplete Higher Education
Learner 204,United States,Male,1985,The average
Learner 208,Australia,Male,1985,Incomplete Secondary
Learner 219,United Kingdom,Male,1985,The average
Learner 233,Australia,Male,1985,Incomplete Higher Education
Learner 241,United States,Male,1985,Incomplete Secondary
Learner 242,United States,Female,1985,Incomplete Higher Education
Learner 244,United States,Male,1985,Incomplete Higher Education
Learner 250,United Kingdom,Male,1985,The average
Learner 252,Australia,Male,1985,Incomplete Higher Education
Learner 271,Australia,Female,1985,Incomplete Secondary
Learner 272,Australia,Male,1985,Incomplete Higher Education
Learner 279,Canada,Male,1985,The average
Learner 298,Australia,Male,1985,Incomplete Higher Education
Learner 302,Australia,Male,1985,Incomplete Higher Education
Learner 306,United Kingdom,Male,1985,Incomplete Secondary
Learner 319,Australia,Female,1985,The average
Learner 322,Australia,Female,1985,Incomplete Higher Education
Learner 329,United Kingdom,Male,1985,Incomplete Secondary
Learner 336,United Kingdom,Male,1985,The average
Learner 352,Australia,Male,1985,The average
Learner 354,Canada,Male,1985,Incomplete Secondary
Learner 356,Australia,Male,1985,The average
Learner 361,Canada,Female,1985,The average
Learner 362,United Kingdom,Female,1985,The average
Learner 366,Canada,Male,1985,Incomplete Secondary
Learner 367,Australia,Female,1985,The average
Learner 369,Australia,Female,1985,Incomplete Secondary
Learner 383,Australia,Female,1985,Incomplete Higher Education
Learner 406,Canada,Female,1985,Incomplete Higher Education
Learner 408,United Kingdom,Male,1985,Incomplete Higher Education
Learner 410,United States,Male,1985,The average
Learner 413,United States,Female,1985,Incomplete Higher Education
Learner 432,Australia,Male,1985,Incomplete Higher Education
Learner 442,Canada,Female,1985,The average
Learner 455,Australia,Male,1985,Incomplete Secondary
Learner 457,Canada,Female,1985,Incomplete Secondary
Learner 487,Canada,Female,1985,Incomplete Secondary
Learner 488,Canada,Male,1985,Incomplete Higher Education
Learner 507,United States,Male,1985,The average
Learner 509,Canada,Female,1985,The average
Learner 518,Australia,Male,1985,Incomplete Secondary
Learner 530,United States,Female,1985,Incomplete Higher Education
Learner 538,Australia,Male,1985,Incomplete Higher Education
Learner 542,United States,Male,1985,The average
Learner 548,United States,Male,1985,Incomplete Higher Education
Learner 560,United Kingdom,Female,1985,Incomplete Secondary
Learner 562,United Kingdom,Male,1985,Incomplete Higher Education
Learner 564,United Kingdom,Female,1985,Incomplete Higher Education
Learner 567,Canada,Female,1985,Incomplete Secondary
Learner 623,United Kingdom,Male,1985,Incomplete Higher Education
Learner 624,Canada,Female,1985,Incomplete Secondary
Learner 626,United States,Female,1985,Incomplete Secondary
Learner 630,Canada,Female,1985,Incomplete Secondary
Learner 632,United Kingdom,Male,1985,Incomplete Higher Education
Learner 640,Canada,Female,1985,Incomplete Higher Education
Learner 645,United States,Female,1985,Incomplete Secondary
Learner 652,Australia,Male,1985,Incomplete Higher Education
Learner 663,Canada,Female,1985,Incomplete Higher Education
Learner 667,Canada,Male,1985,Incomplete Secondary
Learner 668,United Kingdom,Female,1985,Incomplete Secondary
Learner 676,United Kingdom,Female,1985,Incomplete Higher Education
Learner 678,Canada,Female,1985,The average
Learner 684,Canada,Female,1985,Incomplete Higher Education
Learner 698,Australia,Female,1985,The average
Learner 700,Australia,Female,1985,Incomplete Secondary
Learner 711,Canada,Female,1985,Incomplete Higher Education
Learner 717,Canada,Male,1985,Incomplete Secondary
Learner 740,United Kingdom,Male,1985,Incomplete Higher Education
Learner 743,United States,Male,1985,Incomplete Secondary
Learner 745,Canada,Female,1985,Incomplete Higher Education
Learner 747,United States,Female,1985,The average
Learner 750,Canada,Female,1985,The average
Learner 756,Australia,Male,1985,The average
Learner 769,United Kingdom,Male,1985,Incomplete Higher Education
Learner 813,Canada,Male,1985,Incomplete Secondary
Learner 827,Canada,Female,1985,The average
Learner 837,United Kingdom,Female,1985,Incomplete Higher Education
Learner 840,United Kingdom,Male,1985,Incomplete Secondary
Learner 842,United Kingdom,Female,1985,Incomplete Secondary
Learner 853,Australia,Male,1985,Incomplete Secondary
Learner 856,Canada,Male,1985,Incomplete Secondary
Learner 857,United Kingdom,Male,1985,Incomplete Higher Education
Learner 864,Canada,Male,1985,Incomplete Secondary
Learner 875,United Kingdom,Male,1985,Incomplete Secondary
Learner 879,United States,Female,1985,The average
Learner 882,United States,Female,1985,The average
Learner 885,Australia,Female,1985,The average
Learner 893,United States,Male,1985,The average
Learner 894,Australia,Female,1985,Incomplete Secondary
Learner 897,United Kingdom,Male,1985,The average
Learner 899,Australia,Male,1985,Incomplete Secondary
Learner 904,Australia,Male,1985,The average
Learner 919,United Kingdom,Female,1985,The average
Learner 937,United Kingdom,Male,1985,Incomplete Higher Education
Learner 960,Canada,Female,1985,Incomplete Higher Education
Learner 961,Australia,Male,1985,Incomplete Higher Education
Learner 972,United Kingdom,Male,1985,Incomplete Secondary
Learner 973,United States,Female,1985,Incomplete Secondary
Learner 981,United States,Male,1985,Incomplete Secondary
Learner 989,Australia,Male,1985,Incomplete Secondary
Learner 997,Australia,Male,1985,Incomplete Higher Education
Learner 1004,United States,Female,1985,Incomplete Secondary
Learner 1016,United States,Male,1985,Incomplete Secondary
Learner 1024,Canada,Male,1985,Incomplete Higher Education
Learner 1028,United States,Female,1985,Incomplete Secondary
Learner 1040,United States,Female,1985,Incomplete Higher Education
Learner 1043,United States,Male,1985,Incomplete Higher Education
Learner 1054,United Kingdom,Male,1985,Incomplete Higher Education
Learner 1070,Australia,Male,1985,Incomplete Higher Education
Learner 1077,United Kingdom,Female,1985,Incomplete Secondary
Learner 1079,United States,Male,1985,Incomplete Higher Education
Learner 1082,Canada,Male,1985,The average
Learner 1105,Canada,Male,1985,Incomplete Secondary
Learner 1119,United Kingdom,Female,1985,Incomplete Secondary
Learner 1125,Canada,Female,1985,Incomplete Secondary
Learner 1133,Canada,Male,1985,The average
Learner 1137,United States,Female,1985,Incomplete Higher Education
Learner 1143,Australia,Female,1985,Incomplete Secondary
Learner 1144,Canada,Female,1985,The average
Learner 1148,Australia,Female,1985,The average
Learner 1154,United Kingdom,Female,1985,Incomplete Higher Education
Learner 1176,Canada,Male,1985,Incomplete Higher Education
Learner 1188,Canada,Female,1985,Incomplete Higher Education
Learner 1203,United States,Male,1985,The average
Learner 1218,United States,Female,1985,Incomplete Higher Education
Learner 1221,United States,Male,1985,The average
Learner 1228,Canada,Male,1985,Incomplete Secondary
Learner 1233,United Kingdom,Female,1985,Incomplete Secondary
Learner 1240,United States,Female,1985,The average
Learner 1247,United Kingdom,Female,1985,Incomplete Secondary
Learner 1253,Canada,Female,1985,Incomplete Secondary
Learner 1256,United States,Female,1985,Incomplete Higher Education
Learner 1269,United Kingdom,Female,1985,The average
Learner 1273,Canada,Female,1985,The average
Learner 1278,Australia,Male,1985,The average
Learner 1283,Canada,Female,1985,Incomplete Higher Education
Learner 1292,Canada,Female,1985,The average
Learner 1316,United States,Female,1985,The average
Learner 1329,United States,Male,1985,Incomplete Higher Education
Learner 1334,United Kingdom,Female,1985,Incomplete Secondary
Learner 1340,Australia,Male,1985,Incomplete Secondary
Learner 1352,Canada,Female,1985,Incomplete Secondary
Learner 1353,United States,Male,1985,Incomplete Secondary
Learner 1365,United States,Female,1985,The average
Learner 1370,Canada,Male,1985,Incomplete Higher Education
Learner 1381,United Kingdom,Female,1985,Incomplete Secondary
Learner 1390,Australia,Male,1985,Incomplete Secondary
Learner 1392,United Kingdom,Male,1985,The average
Learner 1394,Canada,Female,1985,Incomplete Secondary
Learner 1411,Canada,Male,1985,Incomplete Secondary
Learner 1415,United Kingdom,Male,1985,Incomplete Secondary
Learner 1430,Canada,Female,1985,Incomplete Higher Education
Learner 1436,United Kingdom,Male,1985,Incomplete Secondary
Learner 1438,Australia,Male,1985,Incomplete Higher Education
Learner 1463,United States,Male,1985,The average
Learner 1464,United States,Male,1985,Incomplete Higher Education
Learner 1474,United States,Female,1985,The average
Learner 1477,Australia,Male,1985,Incomplete Higher Education
Learner 1487,Australia,Female,1985,The average
Learner 1495,United States,Female,1985,The average
Learner 1497,Australia,Male,1985,Incomplete Secondary
Learner 1499,United States,Male,1985,Incomplete Higher Education
Learner 1501,Canada,Female,1985,Incomplete Secondary
Learner 1502,Canada,Male,1985,Incomplete Higher Education
Learner 1513,United States,Male,1985,Incomplete Higher Education
Learner 1516,United Kingdom,Female,1985,Incomplete Secondary
Learner 1523,Australia,Female,1985,Incomplete Higher Education
Learner 1526,Australia,Female,1985,The average
Learner 1532,United States,Male,1985,Incomplete Higher Education
Learner 1539,United States,Female,1985,The average
Learner 1542,Australia,Male,1985,Incomplete Higher Education
Learner 1544,Canada,Female,1985,Incomplete Secondary
Learner 1562,Australia,Male,1985,Incomplete Secondary
Learner 1563,United Kingdom,Male,1985,Incomplete Secondary
Learner 1571,United Kingdom,Female,1985,The average
Learner 1574,United States,Female,1985,Incomplete Higher Education
Learner 1581,Australia,Male,1985,Incomplete Secondary
Learner 1602,Canada,Female,1985,The average
Learner 1603,Australia,Male,1985,Incomplete Secondary
Learner 1606,United Kingdom,Male,1985,The average
Learner 1608,Australia,Female,1985,Incomplete Higher Education
Learner 1614,United Kingdom,Male,1985,Incomplete Higher Education
Learner 1618,Australia,Male,1985,Incomplete Secondary
Learner 1623,Canada,Male,1985,Incomplete Higher Education
Learner 1625,Canada,Female,1985,The average
Learner 1637,United States,Male,1985,The average
Learner 1644,Australia,Male,1985,Incomplete Higher Education
Learner 1645,Canada,Female,1985,Incomplete Higher Education
Learner 1651,United Kingdom,Male,1985,The average
Learner 1656,Australia,Female,1985,The average
Learner 1657,Canada,Female,1985,Incomplete Secondary
Learner 1662,United Kingdom,Male,1985,Incomplete Higher Education
Learner 1666,Canada,Female,1985,The average
Learner 1676,Canada,Male,1985,Incomplete Higher Education
Learner 1685,United Kingdom,Male,1985,Incomplete Higher Education
Learner 1708,United Kingdom,Male,1985,The average
Learner 1714,United States,Male,1985,Incomplete Higher Education
Learner 1718,Australia,Female,1985,Incomplete Higher Education
Learner 1721,Canada,Male,1985,Incomplete Secondary
Learner 1733,United States,Male,1985,The average
Learner 1735,Canada,Female,1985,Incomplete Secondary
Learner 1772,United States,Female,1985,Incomplete Secondary
Learner 1778,Australia,Male,1985,The average
Learner 1798,Canada,Male,1985,Incomplete Secondary
Learner 1803,Australia,Male,1985,Incomplete Secondary
Learner 1810,Australia,Male,1985,Incomplete Secondary
Learner 1823,Australia,Male,1985,Incomplete Higher Education
Learner 1833,Canada,Female,1985,Incomplete Higher Education
Learner 1841,Canada,Male,1985,Incomplete Secondary
Learner 1855,United States,Female,1985,The average
Learner 1856,United States,Female,1985,Incomplete Higher Education
Learner 1864,Australia,Male,1985,Incomplete Secondary
Learner 1887,Australia,Male,1985,Incomplete Secondary
Learner 1890,Australia,Male,1985,The average
Learner 1901,Canada,Female,1985,Incomplete Higher Education
Learner 1905,Canada,Male,1985,The average
Learner 1913,Canada,Female,1985,The average
Learner 1923,Australia,Male,1985,Incomplete Secondary
Learner 1937,Australia,Female,1985,Incomplete Secondary
Learner 1938,United Kingdom,Female,1985,Incomplete Secondary
Learner 1949,Canada,Male,1985,Incomplete Higher Education
Learner 1956,Australia,Female,1985,Incomplete Secondary
Learner 1958,United States,Female,1985,Incomplete Higher Education
Learner 1964,United Kingdom,Male,1985,The average
Learner 1974,United Kingdom,Female,1985,Incomplete Higher Education
Learner 1978,Australia,Female,1985,Incomplete Higher Education
Learner 1988,Canada,Female,1985,The average
Learner 2005,United States,Male,1985,Incomplete Higher Education
Learner 2016,Australia,Male,1985,Incomplete Higher Education
Learner 2025,Canada,Female,1985,Incomplete Secondary
Learner 2031,United States,Male,1985,Incomplete Secondary
Learner 2050,Canada,Female,1985,The average
Learner 2054,Australia,Female,1985,Incomplete Secondary
Learner 2057,United Kingdom,Male,1985,Incomplete Higher Education
Learner 2060,United States,Male,1985,The average
Learner 2071,United States,Male,1985,Incomplete Secondary
Learner 2075,United States,Male,1985,Incomplete Secondary
Learner 2081,Australia,Male,1985,The average
Learner 2082,Canada,Female,1985,Incomplete Higher Education
Learner 2098,United States,Female,1985,Incomplete Secondary
Learner 2101,United Kingdom,Male,1985,Incomplete Secondary
Learner 2120,Australia,Female,1985,Incomplete Secondary
Learner 2132,Canada,Male,1985,Incomplete Higher Education
Learner 2137,United States,Female,1985,Incomplete Secondary
Learner 2140,United States,Female,1985,Incomplete Higher Education
Learner 2144,United States,Male,1985,The average
Learner 2153,Australia,Male,1985,The average
Learner 2157,United Kingdom,Male,1985,Incomplete Secondary
Learner 2178,Australia,Male,1985,Incomplete Secondary
Learner 2180,United States,Male,1985,The average
Learner 2188,Canada,Male,1985,Incomplete Secondary
Learner 2191,Australia,Female,1985,Incomplete Secondary
Learner 2192,Australia,Male,1985,Incomplete Higher Education
Learner 2205,United Kingdom,Male,1985,The average
Learner 2211,United States,Female,1985,The average
Learner 2212,United States,Female,1985,Incomplete Higher Education
Learner 2235,Canada,Female,1985,Incomplete Higher Education
Learner 2244,United Kingdom,Male,1985,Incomplete Higher Education
Learner 2258,Australia,Male,1985,Incomplete Secondary
Learner 2268,Canada,Female,1985,Incomplete Secondary
Learner 2274,Australia,Male,1985,The average
Learner 2280,United States,Female,1985,Incomplete Higher Education
Learner 2282,United Kingdom,Female,1985,Incomplete Higher Education
Learner 2292,United States,Female,1985,Incomplete Higher Education
Learner 2293,Australia,Male,1985,Incomplete Higher Education
Learner 2310,Australia,Female,1985,The average
Learner 2313,Australia,Male,1985,The average
Learner 2319,United Kingdom,Male,1985,The average
Learner 2331,United Kingdom,Female,1985,Incomplete Secondary
Learner 2333,Australia,Male,1985,Incomplete Higher Education
Learner 2335,United Kingdom,Female,1985,Incomplete Secondary
Learner 2341,United Kingdom,Male,1985,The average
Learner 2357,United Kingdom,Male,1985,The average
Learner 2362,United Kingdom,Female,1985,Incomplete Higher Education
Learner 2368,United States,Male,1985,The average
Learner 2380,Australia,Male,1985,The average
Learner 2392,United States,Male,1985,Incomplete Higher Education
Learner 2407,United Kingdom,Female,1985,The average
Learner 2413,Australia,Male,1985,Incomplete Secondary
Learner 2415,United Kingdom,Male,1985,Incomplete Secondary
Learner 2417,United Kingdom,Female,1985,The average
Learner 2433,Australia,Female,1985,Incomplete Secondary
Learner 2434,Canada,Female,1985,The average
Learner 2448,United States,Male,1985,The average
Learner 2453,United States,Female,1985,Incomplete Secondary
Learner 2461,Canada,Male,1985,Incomplete Higher Education
Learner 2467,United Kingdom,Female,1985,Incomplete Higher Education
Learner 2470,Australia,Female,1985,Incomplete Secondary
Learner 2478,Canada,Male,1985,The average
Learner 2482,Canada,Female,1985,Incomplete Secondary
Learner 2486,United States,Male,1985,The average
Learner 2501,United States,Female,1985,Incomplete Higher Education
Learner 2502,United States,Female,1985,Incomplete Higher Education
Learner 2517,United States,Female,1985,The average
Learner 2522,United Kingdom,Male,1985,The average
Learner 2523,United States,Female,1985,Incomplete Secondary
Learner 2524,Australia,Male,1985,Incomplete Higher Education
Learner 2585,Canada,Female,1985,Incomplete Secondary
Learner 2592,United Kingdom,Female,1985,The average
Learner 2593,Australia,Male,1985,Incomplete Secondary
Learner 2622,Australia,Female,1985,Incomplete Secondary
Learner 2628,United States,Female,1985,Incomplete Higher Education
Learner 2642,United Kingdom,Male,1985,Incomplete Higher Education
Learner 2655,United States,Male,1985,Incomplete Higher Education
Learner 2667,United States,Male,1985,The average
Learner 2672,United Kingdom,Male,1985,Incomplete Higher Education
Learner 2685,Canada,Male,1985,The average
Learner 2689,Canada,Female,1985,Incomplete Higher Education
Learner 2694,Canada,Female,1985,Incomplete Higher Education
Learner 2697,United States,Female,1985,The average
Learner 2702,United Kingdom,Female,1985,Incomplete Secondary
Learner 2706,United States,Male,1985,The average
Learner 2707,United Kingdom,Male,1985,The average
Learner 2732,Canada,Female,1985,Incomplete Higher Education
Learner 2734,Australia,Female,1985,The average
Learner 2748,Canada,Female,1985,Incomplete Higher Education
Learner 2753,Canada,Male,1985,Incomplete Higher Education
Learner 2754,Canada,Male,1985,The average
Learner 2758,United States,Female,1985,The average
Learner 2759,Australia,Female,1985,The average
Learner 2762,Australia,Female,1985,Incomplete Secondary
Learner 2764,Canada,Female,1985,Incomplete Secondary
Learner 2765,Australia,Male,1985,Incomplete Higher Education
Learner 2772,Canada,Male,1985,Incomplete Secondary
Learner 2774,Canada,Female,1985,Incomplete Secondary
Learner 2781,Canada,Female,1985,Incomplete Higher Education
Learner 2783,United States,Male,1985,Incomplete Secondary
Learner 2786,United States,Male,1985,The average
Learner 2788,United States,Female,1985,Incomplete Secondary
Learner 2792,Australia,Male,1985,The average
Learner 2803,United States,Male,1985,The average
Learner 2818,United States,Female,1985,The average
Learner 2829,United Kingdom,Female,1985,Incomplete Higher Education
Learner 2837,Canada,Male,1985,The average
Learner 2840,United Kingdom,Male,1985,Incomplete Higher Education
Learner 2842,Australia,Male,1985,Incomplete Secondary
Learner 2851,Australia,Male,1985,Incomplete Secondary
Learner 2853,Australia,Male,1985,Incomplete Secondary
Learner 2855,Canada,Female,1985,Incomplete Higher Education
Learner 2865,United States,Female,1985,The average
Learner 2875,Australia,Female,1985,Incomplete Secondary
Learner 2883,United States,Female,1985,Incomplete Secondary
Learner 2887,United Kingdom,Female,1985,Incomplete Secondary
Learner 2889,Canada,Male,1985,Incomplete Higher Education
Learner 2892,Australia,Male,1985,Incomplete Secondary
Learner 2900,Australia,Male,1985,The average
Learner 2905,Canada,Female,1985,Incomplete Secondary
Learner 2911,Australia,Male,1985,Incomplete Secondary
Learner 2930,United States,Female,1985,Incomplete Higher Education
Learner 2941,Canada,Male,1985,Incomplete Higher Education
Learner 2949,United Kingdom,Male,1985,The average
Learner 2951,Canada,Male,1985,Incomplete Higher Education
Learner 2958,United Kingdom,Male,1985,The average
Learner 2964,United States,Male,1985,Incomplete Higher Education
Learner 2966,Australia,Male,1985,Incomplete Higher Education
Learner 2971,Canada,Female,1985,Incomplete Secondary
Learner 3001,Canada,Male,1985,Incomplete Secondary
Learner 3010,Australia,Male,1985,The average
Learner 3011,Canada,Female,1985,The average
Learner 3013,United Kingdom,Male,1985,Incomplete Secondary
Learner 3020,Canada,Male,1985,Incomplete Secondary
Learner 3024,Australia,Female,1985,Incomplete Secondary
Learner 3026,United Kingdom,Female,1985,Incomplete Higher Education
Learner 3030,Canada,Male,1985,The average
Learner 3032,Canada,Male,1985,Incomplete Secondary
Learner 3055,United States,Male,1985,The average
Learner 3061,Canada,Male,1985,The average
Learner 3073,United States,Female,1985,The average
Learner 3078,United States,Male,1985,Incomplete Higher Education
Learner 3093,Australia,Male,1985,Incomplete Secondary
Learner 3094,United Kingdom,Male,1985,The average
Learner 3105,Australia,Male,1985,The average
Learner 3115,Australia,Male,1985,Incomplete Secondary
Learner 3118,Canada,Female,1985,The average
Learner 3132,Australia,Male,1985,The average
Learner 3133,Australia,Male,1985,Incomplete Secondary
Learner 3145,Canada,Male,1985,The average
Learner 3150,United Kingdom,Male,1985,Incomplete Higher Education
Learner 3152,Australia,Male,1985,The average
Learner 3154,United States,Female,1985,The average
Learner 3158,Australia,Male,1985,The average
Learner 3161,United Kingdom,Male,1985,Incomplete Secondary
Learner 3163,United States,Male,1985,Incomplete Secondary
Learner 3177,United Kingdom,Female,1985,Incomplete Secondary
Learner 3182,Canada,Female,1985,Incomplete Higher Education
Learner 3196,United Kingdom,Female,1985,Incomplete Secondary
Learner 3197,Australia,Male,1985,Incomplete Secondary
Learner 3206,Australia,Female,1985,Incomplete Secondary
Learner 3216,Australia,Male,1985,Incomplete Higher Education
Learner 3223,United Kingdom,Male,1985,Incomplete Higher Education
Learner 3239,United States,Male,1985,Incomplete Secondary
Learner 3261,United States,Male,1985,The average
Learner 3262,Australia,Male,1985,Incomplete Secondary
Learner 3281,United States,Female,1985,Incomplete Secondary
Learner 3286,United States,Female,1985,Incomplete Higher Education
Learner 3291,United Kingdom,Male,1985,Incomplete Higher Education
Learner 3297,United Kingdom,Male,1985,Incomplete Higher Education
Learner 3298,United Kingdom,Male,1985,The average
Learner 3305,Canada,Female,1985,The average
Learner 3308,United States,Male,1985,Incomplete Secondary
Learner 3317,United Kingdom,Male,1985,The average
Learner 3325,Australia,Male,1985,Incomplete Higher Education
Learner 3326,Canada,Female,1985,Incomplete Secondary
Learner 3348,United States,Female,1985,The average
Learner 3355,United Kingdom,Male,1985,The average
Learner 3357,United Kingdom,Female,1985,Incomplete Secondary
Learner 3368,United Kingdom,Male,1985,The average
Learner 3370,Australia,Female,1985,Incomplete Higher Education
Learner 3383,Canada,Male,1985,The average
Learner 3387,Canada,Female,1985,Incomplete Higher Education
Learner 3396,Canada,Male,1985,Incomplete Higher Education
Learner 3421,United Kingdom,Male,1985,The average
Learner 3424,United Kingdom,Male,1985,The average
Learner 3440,Canada,Female,1985,Incomplete Secondary
Learner 3442,Australia,Male,1985,The average
Learner 3474,Australia,Female,1985,The average
Learner 3477,Canada,Female,1985,The average
Learner 3478,Australia,Female,1985,The average
Learner 3483,Canada,Male,1985,The average
Learner 3485,Australia,Female,1985,Incomplete Higher Education
Learner 3486,United States,Male,1985,Incomplete Secondary
Learner 3505,United Kingdom,Female,1985,The average
Learner 3508,United States,Male,1985,Incomplete Higher Education
Learner 3516,Canada,Female,1985,The average
Learner 3540,Canada,Male,1985,Incomplete Higher Education
Learner 3565,United Kingdom,Male,1985,Incomplete Secondary
Learner 3570,Canada,Female,1985,Incomplete Higher Education
Learner 3573,United States,Female,1985,The average
Learner 3575,Australia,Male,1985,Incomplete Higher Education
Learner 3578,Australia,Female,1985,Incomplete Higher Education
Learner 3579,Australia,Female,1985,The average
Learner 3591,Australia,Male,1985,Incomplete Higher Education
Learner 3598,United States,Female,1985,Incomplete Secondary
Learner 3601,United Kingdom,Male,1985,The average
Learner 3603,Australia,Female,1985,The average
Learner 3612,Australia,Male,1985,The average
Learner 3613,Australia,Male,1985,Incomplete Secondary
Learner 3624,United States,Female,1985,Incomplete Secondary
Learner 3630,United Kingdom,Female,1985,Incomplete Higher Education
Learner 3631,Australia,Female,1985,The average
Learner 3635,United States,Male,1985,Incomplete Higher Education
Learner 3645,United States,Female,1985,Incomplete Secondary
Learner 3656,Australia,Female,1985,The average
Learner 3672,Canada,Male,1985,Incomplete Higher Education
Learner 3680,Australia,Male,1985,The average
Learner 3685,Canada,Male,1985,Incomplete Higher Education
Learner 3692,United States,Female,1985,Incomplete Higher Education
Learner 3700,Canada,Male,1985,Incomplete Higher Education
Learner 3704,United States,Male,1985,Incomplete Higher Education
Learner 3715,United Kingdom,Male,1985,Incomplete Secondary
Learner 3725,Australia,Female,1985,The average
Learner 3733,Canada,Male,1985,Incomplete Higher Education
Learner 3738,United States,Male,1985,The average
Learner 3750,United States,Male,1985,The average
Learner 3756,Australia,Female,1985,Incomplete Secondary
Learner 3774,United States,Male,1985,Incomplete Higher Education
Learner 3780,Australia,Female,1985,Incomplete Higher Education
Learner 3783,Canada,Male,1985,Incomplete Secondary
Learner 3786,Australia,Male,1985,Incomplete Higher Education
Learner 3788,United Kingdom,Female,1985,Incomplete Higher Education
Learner 3792,United Kingdom,Female,1985,The average
Learner 3806,Australia,Female,1985,The average
Learner 3823,Canada,Male,1985,Incomplete Secondary
Learner 3826,United States,Male,1985,Incomplete Higher Education
Learner 3853,Canada,Female,1985,Incomplete Higher Education
Learner 3858,Canada,Female,1985,Incomplete Higher Education
Learner 3863,Canada,Female,1985,The average
Learner 3866,Canada,Male,1985,Incomplete Secondary
Learner 3869,Australia,Male,1985,The average
Learner 3872,Australia,Male,1985,Incomplete Higher Education
Learner 3878,Canada,Male,1985,Incomplete Higher Education
Learner 3880,United States,Female,1985,Incomplete Secondary
Learner 3907,United Kingdom,Male,1985,Incomplete Higher Education
Learner 3926,France,Female,1985,Incomplete Secondary
Learner 3931,Spain,Male,1985,Incomplete Secondary
Learner 3941,Germany,Male,1985,Incomplete Higher Education
Learner 3954,France,Female,1985,The average
Learner 3956,Spain,Female,1985,Incomplete Secondary
Learner 3975,South Korea,Male,1985,Incomplete Secondary
Learner 3987,France,Male,1985,Incomplete Secondary
Learner 3991,Spain,Male,1985,Incomplete Higher Education
Learner 3995,Italy,Female,1985,The average
Learner 4009,South Korea,Male,1985,Incomplete Higher Education
Learner 4018,Italy,Female,1985,Incomplete Secondary
Learner 4031,Spain,Male,1985,Incomplete Secondary
Learner 4033,France,Male,1985,The average
Learner 4038,Italy,Female,1985,Incomplete Secondary
Learner 4039,Saudi Arabia,Female,1985,Incomplete Higher Education
Learner 4047,Italy,Female,1985,Incomplete Secondary
Learner 4049,South Korea,Male,1985,Incomplete Higher Education
Learner 4057,Italy,Female,1985,The average
Learner 4062,Spain,Female,1985,Incomplete Higher Education
Learner 4073,Germany,Male,1985,Incomplete Secondary
Learner 4076,Italy,Male,1985,Incomplete Secondary
Learner 4091,South Korea,Male,1985,Incomplete Secondary
Learner 4096,Italy,Female,1985,The average
Learner 4110,Germany,Female,1985,Incomplete Higher Education
Learner 4128,Spain,Female,1985,Incomplete Higher Education
Learner 4133,France,Male,1985,Incomplete Higher Education
Learner 4139,South Korea,Male,1985,Incomplete Secondary
Learner 4148,Italy,Female,1985,The average
Learner 4155,Spain,Female,1985,Incomplete Secondary
Learner 4162,France,Female,1985,The average
Learner 4171,Saudi Arabia,Male,1985,Incomplete Higher Education
Learner 4178,France,Male,1985,Incomplete Secondary
Learner 4190,Spain,Female,1985,The average
Learner 4198,South Korea,Female,1985,The average
Learner 4202,South Korea,Female,1985,The average
Learner 4207,Italy,Male,1985,Incomplete Secondary
Learner 4211,France,Male,1985,Incomplete Secondary
Learner 4225,France,Female,1985,The average
Learner 4229,Italy,Male,1985,Incomplete Secondary
Learner 4230,Saudi Arabia,Male,1985,Incomplete Secondary
Learner 4235,France,Male,1985,Incomplete Secondary
Learner 4237,France,Male,1985,Incomplete Secondary
Learner 4239,Italy,Male,1985,The average
Learner 4277,Germany,Female,1985,Incomplete Higher Education
Learner 4287,Italy,Female,1985,Incomplete Higher Education
Learner 4294,Saudi Arabia,Male,1985,Incomplete Higher Education
Learner 4299,Spain,Female,1985,Incomplete Secondary
Learner 4303,Italy,Female,1985,Incomplete Higher Education
Learner 4312,South Korea,Male,1985,Incomplete Secondary
Learner 4316,Germany,Male,1985,The average
Learner 4329,Saudi Arabia,Male,1985,Incomplete Secondary
Learner 4335,France,Female,1985,Incomplete Higher Education
Learner 4336,Germany,Female,1985,Incomplete Secondary
Learner 4337,France,Female,1985,Incomplete Secondary
Learner 4355,South Korea,Female,1985,The average
Learner 4383,Italy,Male,1985,The average
Learner 4386,Germany,Female,1985,Incomplete Secondary
Learner 4395,Saudi Arabia,Female,1985,Incomplete Higher Education
Learner 4396,South Korea,Male,1985,The average
Learner 4404,France,Male,1985,The average
Learner 4416,Germany,Male,1985,The average
Learner 4429,Italy,Female,1985,The average
Learner 4439,Saudi Arabia,Male,1985,The average
Learner 4450,France,Female,1985,Incomplete Higher Education
Learner 4463,Saudi Arabia,Female,1985,The average
Learner 4482,France,Male,1985,Incomplete Secondary
Learner 4485,Italy,Male,1985,The average
Learner 4495,Germany,Male,1985,Incomplete Secondary
Learner 4496,South Korea,Male,1985,The average
Learner 4521,Germany,Female,1985,The average
Learner 4524,Saudi Arabia,Male,1985,Incomplete Secondary
Learner 4525,Germany,Female,1985,Incomplete Secondary
Learner 4546,Spain,Female,1985,The average
